Epoch	Episode	Cost	TotalEnvInteracts	Time
0	0	5.0	11	11.415199041366577
0	1	5.0	22	22.45630192756653
0	2	7.0	33	33.823237895965576
0	3	2.0	44	45.10127115249634
0	4	3.0	55	56.732250928878784
0	5	7.0	66	68.41489696502686
0	6	5.0	77	80.02992010116577
0	7	1.0	81	84.41206693649292
0	8	7.0	92	96.27428412437439
0	9	6.0	103	107.94537091255188
0	10	3.0	114	119.28352189064026
0	11	1.0	117	122.40796089172363
0	12	5.0	124	129.7381010055542
0	13	6.0	135	141.27626490592957
0	14	0.0	137	143.46281099319458
0	15	2.0	141	148.10985803604126
0	16	6.0	152	158.9784688949585
0	17	6.0	163	169.6949279308319
0	18	1.0	174	180.52471613883972
0	19	2.0	178	184.5806930065155
0	20	3.0	189	195.96424078941345
0	21	1.0	192	199.1561679840088
0	22	0.0	194	201.24941897392273
0	23	7.0	205	212.91337490081787
0	24	1.0	208	216.03931975364685
0	25	4.0	219	227.42750787734985
0	26	4.0	230	239.46151494979858
0	27	2.0	234	243.449147939682
0	28	0.0	236	245.57096982002258
0	29	1.0	247	256.42539978027344
1	30	5.0	258	275.27606892585754
1	31	0.0	262	279.86992597579956
1	32	2.0	273	291.7069549560547
1	33	2.0	284	303.3813729286194
1	34	1.0	295	315.07119703292847
1	35	6.0	306	326.7728168964386
1	36	0.0	317	338.52523708343506
1	37	6.0	328	350.43832182884216
1	38	3.0	339	362.288281917572
1	39	2.0	350	374.1117248535156
1	40	0.0	361	386.03524589538574
1	41	4.0	372	397.58154702186584
1	42	1.0	383	410.0255320072174
1	43	0.0	394	422.2012460231781
1	44	2.0	405	434.61883091926575
1	45	5.0	416	446.66531586647034
1	46	2.0	427	459.0127868652344
1	47	1.0	438	471.06553292274475
1	48	0.0	449	482.8873748779297
1	49	1.0	460	494.68994998931885
1	50	10.0	471	506.3684558868408
1	51	3.0	482	517.7897679805756
1	52	4.0	493	529.2878959178925
1	53	1.0	504	540.9499249458313
1	54	1.0	507	544.4256138801575
1	55	4.0	518	556.5941550731659
1	56	2.0	529	568.4040608406067
1	57	5.0	540	579.9767818450928
1	58	0.0	551	591.5983707904816
1	59	3.0	562	603.6107840538025
2	60	4.0	573	624.3577611446381
2	61	2.0	584	635.8980269432068
2	62	5.0	595	647.932116985321
2	63	5.0	606	659.4754660129547
2	64	6.0	617	671.3298010826111
2	65	0.0	628	682.9850039482117
2	66	3.0	639	695.0834279060364
2	67	0.0	650	707.1671698093414
2	68	9.0	661	719.1755740642548
2	69	8.0	672	731.1636159420013
2	70	0.0	682	742.4407486915588
2	71	5.0	693	754.9613518714905
2	72	0.0	704	767.2861788272858
2	73	5.0	715	779.0419008731842
2	74	0.0	726	790.646889925003
2	75	5.0	737	802.2958858013153
2	76	4.0	748	813.8232488632202
2	77	2.0	759	825.3878610134125
2	78	7.0	770	837.1132779121399
2	79	5.0	781	848.3675270080566
2	80	3.0	792	859.9054758548737
2	81	5.0	803	872.0847480297089
2	82	0.0	814	884.1165459156036
2	83	0.0	825	895.7253057956696
2	84	2.0	836	907.2507100105286
2	85	4.0	847	919.1325037479401
2	86	8.0	858	931.3125038146973
2	87	0.0	869	943.2054779529572
2	88	4.0	880	954.7526619434357
2	89	2.0	891	965.5418241024017
3	90	1.0	902	990.1171689033508
3	91	0.0	913	1002.8665759563446
3	92	3.0	924	1015.8862206935883
3	93	2.0	935	1028.9597289562225
3	94	1.0	946	1042.2209799289703
3	95	3.0	956	1053.865865945816
3	96	0.0	967	1066.6136169433594
3	97	2.0	978	1079.564773797989
3	98	2.0	989	1092.8678107261658
3	99	0.0	1000	1105.94358086586
3	100	1.0	1011	1118.8638899326324
3	101	2.0	1022	1131.6238610744476
3	102	3.0	1033	1143.5955908298492
3	103	1.0	1044	1156.177078962326
3	104	5.0	1055	1168.8458960056305
3	105	1.0	1066	1180.9606988430023
3	106	0.0	1077	1193.1620728969574
3	107	0.0	1088	1205.5686898231506
3	108	2.0	1099	1218.0834419727325
